lirik;emosi;judul;penyanyi
Kita cuma main-main Jangan pikir lain-lain Apalagi jadi pacarku Nggak mungkin Percuma kau rayu aku Percuma kau paksa aku Percuma semua percuma Percuma saja Tapi tenang malam ini untukmu Kalau sama-sama suka Buat apa mikir-mikir Malah cuma bikin pusing Nggak penting Kau tau ku suka kamu Ku tau kau perlu aku Kau tau dan aku tau Kita setuju Tapi tenang ku jaga rahasiamu Tenang tenang ku nggak kan bilang-bilang Kita ciptakan malam paling indah Penuh bunga-bunga Tapi bila esok pagi tlah tiba Jadikan kenangan, simpan dalam hati Kalau sama-sama suka Buat apa mikir-mikir Malah cuma bikin pusing Nggak penting Kau tau ku suka kamu Ku tau kau perlu aku Ku tau dan kamu tau Kita setuju Tapi tenang ku jaga rahasiamu Tenang tenang ku nggak kan bilang-bilang Tapi tenang ku jaga rahasiamu Tenang tenang ku nggak kan bilang-bilang Kita ciptakan malam paling indah Penuh bunga-bunga Tapi bila esok pagi tlah tiba Jadikan kenangan, Jadikan kenangan, simpan dalam hati;santai;Cuma Main-main;Tipe-X
Sakit hati Bikin sakit hati Semua ini terjadi berkali-kali Nggak pernah aku mengerti Mengapa begini? Masih saja kau selalu ingkari janji Cobalah rasakan apa yang kurasa Hati ini sakit dibohongi Setiap kali kau tebar ribuan janji Nggak pernah terbukti cuman mimpi Sakit hati Bikin sakit hati Semua ini terjadi berkali-kali Nggak pernah aku mengerti Mengapa begini? Masih saja kau selalu ingkari janji Kau taburkan bunga di angan-angan Hingga jiwa-ragaku melayang Saat semua kembali aku tersentak Yang kurasa hanyalah kecewa Sakit hati Bikin sakit hati Semua ini terjadi berkali-kali Nggak pernah aku mengerti Mengapa begini? Masih saja kau selalu ingkari janji Kau taburkan bunga di angan-angan Hingga jiwa-ragaku melayang Saat semua kembali aku tersentak Yang kurasa hanyalah kecewa Sakit hati Bikin sakit hati Semua ini terjadi berkali-kali Nggak pernah aku mengerti Mengapa begini? Masih saja kau selalu ingkari janji Sakit hati (sakit hati) Bikin sakit hati (sakit hati) Semua ini terjadi berkali-kali Nggak pernah aku mengerti Mengapa begini? Masih saja kau selalu ingkari janji;sedih;Sakit Hati;Tipe-X
Ku tatap dunia Terasa perih luka di dada Pertempuran manusia Yang buta indahnya perbedaan Oh indahnya Ku bisa engkaupun bisa Melupakan kebencian yang ada Bersama kita terluka Bersama kita bisa tertawa Dan tertawa Ayo bangun dunia di dalam perbedaan Jika satu tetap kuat kita bersinar Harus percaya tak ada yang sempurna Dan dunia kembali tertawa Bayangkan dan senyumlah Mahkota emas tiada artinya Ketika raja dan ratu Memimpin dunia semua bersatu Dan bersatu Ayo bangun dunia di dalam perbedaan Jika satu tetap kuat kita bersinar Harus percaya tak ada yang sempurna Dan dunia kembali tertawa Jabat erat tanganku kawan Kau tak akan pernah sendiri Hancurkan dendam dengan cinta di dada Untuk semua manusia Ayo bangun dunia di dalam perbedaan Jika satu tetap kuat kita bersinar Harus percaya tak ada yang sempurna Dan dunia kembali tertawa Ayo bangun dunia di dalam perbedaan Jika satu tetap kuat kita bersinar Harus percaya tak ada yang sempurna Dan dunia kembali tertawa Ayo bangun dunia di dalam perbedaan Jika satu tetap kuat kita bersinar Harus percaya tak ada yang sempurna Dan dunia kembali tertawa;bersemangat;Kuat Kita Bersinar;Superman Is Dead
Jauh jalan yang harus kau tempuh Mungkin samar bahkan mungkin gelap Tajam kerikil setiap saat menunggu Engkau lewat dengan kaki tak bersepatu Duduk sini nak dekat pada bapak Jangan kau ganggu ibumu Turunlah lekas dari pangkuannya Engkau lelaki kelak sendiri Jauh jalan yang harus kau tempuh Mungkin samar bahkan mungkin gelap Duduk sini nak dekat pada bapak Jangan kau ganggu ibumu Turunlah lekas dari pangkuannya Engkau lelaki kelak sendiri;sedih;Nak;Iwan Fals
Ketika siapa saja sendirian Berdiam diri tak ada hiburan Jika kau merasakan kesepian Datang kemari kita senang-senang Semua berdiri, waktunya beraksi Penindasan kekerasaan gak jaman Kami datang membawa perdamaian Ciptakan suasana tak terlupakan Lantangkan suaramu dan teriakkan Alunan distorsi, kotak pun beraksi Yang ada di sana, yang ada di sini Semua ikut bernyanyi Hey, yang datang di sini Jangan bikin keki Bikin suasana happy Beraksi Beraksi Hey, yang ada di sana Semua bernyanyi Hey, yang ada di sini Semua happy Hey, yang ada di sana, yang ada di sini Semua ikut bernyanyi Hey, yang datang di sini Jangan bikin keki Bikin suasana happy Beraksi Beraksi;marah;Beraksi;Kotak
Ku tahu, kamu pasti rasa Apa yang kurasa Ku tahu, cepat atau lambat Kamu 'kan mengerti Hati bila dipaksakan Pasti takkan baik Pantasnya kamu mencintai Yang juga cintai dirimu Cinta kamu Lepaskanlah ikatanmu dengan aku Biar kamu senang Bila berat melupakan aku Pelan-pelan saja Tak ada niat menyakiti Inilah hatiku Pantasnya kamu mencintai Yang juga cintai dirimu Cinta kamu Lepaskanlah ikatanmu dengan aku Biar kamu senang Bila berat melupakan aku Pelan-pelan saja, oh Pelan-pelan saja Lepaskanlah ikatanmu dengan aku Biar kamu senang Bila berat melupakan aku Pelan-pelan saja Pelan-pelan saja (Lepaskan aku, lepaskan aku, lepaskan aku) Pelan-pelan saja;sedih;Pelan-pelan Saja;Kotak
Kalau harus ku mengingatmu lagi Aku takkan sanggup dengan yang terjadi pada kita Jika melupakanmu hal yang mudah Ini takkan berat, takkan membuat hatiku lelah Kalah, kuakui aku kalah Cinta ini pahit dan tak harus memiliki Jika aku bisa, ku akan kembali Ku akan merubah takdir cinta yang kupilih Meskipun tak mungkin, walaupun ku mau Membawa kamu lewat mesin waktu Jika melupakanmu hal yang mudah Ini takkan berat, takkan membuat hatiku lelah Panjang perjalanan yang harus kulalui Merelakanmu Jika aku bisa, ku akan kembali Ku akan merubah takdir cinta yang kupilih Meskipun tak mungkin, walaupun ku mau Membawa kamu lewat mesin waktu, ho-uh-oh Wo-uh-oh Jika aku bisa, ku akan kembali Ku akan merubah takdir cinta yang kupilih Meskipun tak mungkin, walaupun ku mau Membawa kamu, oh-oh Jika aku bisa, ku akan kembali Ku akan merubah takdir cinta yang kupilih Meskipun tak mungkin, walaupun ku mau Membawa kamu lewat mesin waktu;sedih;Mesin Waktu;Budi Doremi
do do do do do (Re) - re re re re re re (Mi) - mi mi mi mi (Fa) - fa fa fa fa fa fa doakan 'ku harus pergi (Re) - relakan aku di sini (Mi) - misalnya aku 'kan pulang (Fa) - fastikan kau tetap menunggu (Sol) - soal cinta luar biasa (La) - lama-lama bisa gila (Si) - siapa yang tahu pasti (Do) - doakan aku di sini A-du-du-duh-duh aku percaya Kali ini kau pasti bisa yeah Ku-ku-kutanya ada yang salah Jelas ini luar biasa Hal yang baik tidak mudah Tak seperti kau bicara Mereka mengerti Ini terlalu jadi masalah Ketika kau mulai bisa Terbiasa untuk dapat menikmati Hari-hari tanpaku di sini doakan 'ku harus pergi (Re) - relakan aku di sini (Mi) - misalnya aku 'kan pulang (Fa) - fastikan kau tetap menunggu (Sol) - soal cinta luar biasa (La) - lama-lama bisa gila (Si) - siapa yang tahu pasti (Do) - doakan aku di sini Hal yang baik tidak mudah Tak seperti kau bicara Mereka mengerti Ini terlalu jadi masalah Ketika kau mulai bisa Terbiasa untuk dapat menikmati Hari-hari tanpaku di sini doakan 'ku harus pergi (Re) - relakan aku di sini (Mi) - misalnya aku 'kan pulang (Fa) - fastikan kau tetap menunggu (Sol) - soal cinta luar biasa (La) - lama-lama bisa gila (Si) - siapa yang tahu pasti (Do) - doakan aku di sini Everybody sings it! doakan 'ku harus pergi (Re) - relakan aku di sini (Mi) - misalnya aku 'kan pulang (Fa) - fastikan kau tetap menunggu (Sol) - soal cinta luar biasa (La) - lama-lama bisa gila (Si) - siapa yang tahu pasti (Do) - doakan aku di sini Doakan 'ku harus pergi Relakan aku di sini Misalnya aku 'kan pulang Fa-fa-fastikan kau yang menunggu Soal cinta luar biasa Lama-lama bisa gila Siapa yang tahu pasti Doakan aku di sini;bahagia;Doremi;Budi Doremi
Aku mengerti perjalanan hidup yang kini kau lalui Ku berharap meski berat kau tak merasa sendiri Kau telah berjuang menaklukankan hari-hari mu yang tak mudah Biar ku menemanimu membasuh lelah mu Izinkan ku lukis senja Mengukir namamu di sana Mendengar kamu bercerita Menangis tertawa Biar ku lukis malam Bawa kamu bintang-bintang Tuk temanimu yang terluka Hingga kau bahagia Aku disini walau letih coba lagi jangan berhenti Ku berharap meski berat kau tak merasa sendiri Kau telah berjuang menaklukankan hari-hari mu yang tak indah Biar ku menemanimu membasuh lelah mu Izinkan ku lukis senja Mengukir namamu di sana Mendengar kamu bercerita Menangis tertawa Biar ku lukis malam Bawa kamu bintang-bintang Tuk temanimu yang terluka Hingga kau bahagia hah Izinkan ku lukis senja Mengukir namamu di sana Mendengar kamu bercerita Menangis tertawa Biar ku lukis malam Bawa kamu bintang-bintang Tuk temanimu yang terluka Hingga kau bahagia Tuk temanimu yang terluka Hingga kau bahagia;sedih;Melukis Senja;Budi Doremi
Ku rasa ku sedang jatuh cinta Karena rasanya ini berbeda Oh apakah ini memang cinta Selalu berbeda saat menatapnya Mengapa aku beginiHilang berani dekat denganmuIngin ku memilikimuTapi aku tak tahu Bagaimana caranya? Tolong katakan pada dirinya Lagu ini kutuliskan untuknya Namanya selalu ku sebut dalam doa Sampai aku mampu ucap, maukah denganku? Ku rasa ku sedang jatuh cinta Karna rasanya ini berbeda Oh apakah ini memang cinta Selalu berbeda saat menatapnya Di sini aku berdiri Menanti waktu yang tepat Hingga akhirnya ku mampu Katakan padamu Tolong katakan pada dirinya Lagu ini kutuliskan untuknya Namanya selalu ku sebut dalam doa Mungkinkah dia tahu Cinta yang ku mau?Tolong katakan pada dirinya Lagu ini kutuliskan untuknya Namanya selalu ku sebut dalam doa Sampai aku mampu ucap, maukah denganku? Maukah kau dengan aku?;bahagia;Tolong;Budi Doremi
Waktu terasa semakin berlalu Tinggalkan cerita tentang kita Kini, di mana kucari tawamu 'Tuk hapuskan semua sepi di hati? Ada cerita tentang aku dan dia Dan kita bersama saat dulu kala Ada cerita tentang masa yang indah Saat kita berduka, saat kita tertawa Teringat di saat kita tertawa bersama Ceritakan semua tentang kita Ada cerita tentang aku dan dia Dan kita bersama saat dulu kala Ada cerita tentang masa yang indah Saat kita berduka, saat kita tertawa;sedih;Semua Tentang Kita;Noah
Ku pernah punya mobil balap sendiri Yang bisa ngebut di jalanan tiap hari Ku tidak pernah merasakan kesepian Tak ada gadis yang menolak diantarkan Asoy geboy ngebut di jalanan ibukota Dipayungi lampu kota di sekitar kita Suatu hari ada orang yang menantang Gairah sembalapku makin tak tertahan Kubalap dia dari kiri banting kanan Tak kumelihat kuterobos lampu merah Tiba-tiba pak pulisi datang menghampiri Kutancap gas dengan maksud melarikan diri Akhirnya ku menabrak pohon yang melintang Tolong dong pak... Tolong dong pak, jangan ditilang SIM pun tak ada STNK entah ke mana Dan hingga kini ku berada di tahanan;bersemangat;Mobil Balap;Naif
Sebelum gelap kita tertawa Berjanji setia sampai ujung masa Meski kau dan aku jauh di sana Ingat janji kita untuk selamanya Hilang harapan Saat kau katakan semua telah usai Kau menemukan Yang baru kini aku kau tinggalkan Meski sendiri aku 'kan bertahanMemegang janji yang kita ucapkan Berat rasanya hatiku berkata Semoga bahagia engkau dengannya Selama mataku bisa menatap Kukenang kau sebagai memori kelam Ingin rasanya hatiku berkata Ingat janji dulu kita bersama Walaupun gelap kucoba tertawa Bertahan sendiri meskipun semua percuma Kau pergi tanpa kata;sedih;Hilang Harapan;Stand Here Alone
Telah lama bersama Sekian lama bersama Namun kau pilih dia 'tuk temani hidupmu Dimana rasa malumu Dimana harga dirimu Kau pilih dia ternyata lebih baik dariku Tapi inilah aku 'Kan kunikmati hidupku Wanita masih banyak yang menunggu Aku salut padamu Kau sakiti pria setampan diriku Juga meninggalkanku Kulihat kau bersamanya Ternyata memang kukalah Dari segi harta ku tak punya apa-apa Ternyata cinta dan harta Tak mungkin jauh terpisah Dimana ada harta, disitu ada cinta Tapi inilah aku 'Kan kunikmati hidupku Wanita masih banyak yang menunggu Aku salut padamu Kau sakiti pria setampan diriku Juga meninggalkanku Kubiarkan kau nikmati dirinya Puaskanlah hatimu dengan hartanya Dan ku sadar aku manusia sengsara Tak punya apa-apa Tapi hidupku penuh cinta;bersemangat;Wanita Masih Banyak Yang Menunggu;Stand Here Alone
Terkadang 'ku curiga, temanku buruk rupa Pacarnya seperti artis korea Aku selalu merasa hidupku tak berguna Hanya bisa mengeluh menyalahkan keadaan Terkadang 'ku curiga, pejabat bisa kaya Tapi curiga itu tak berguna Lebih baik usaha, jangan lupa berdoa Minta doa restu dari kedua orang tua Rasanya aku sedang melayang Mungkin akan terbang Menembus batas kewajaran Nonton TV, gosip pagi, biasa Sinetron tentang SMA dan cinta Nonton kartun kena sensor, anehnya Buka handphone chat gak ada, sadisnya Mereka bilang aku pecundang Santai saja, kawan Mereka itu bukan Tuhan Lidah gua genggam, tangan gua kapalan Lagu ini kenceng  banget, gua nggak tahan Lain kali jangan buat lagu ginian Temponya yang santai saja Hidup membosankan tak punya pasangan Terkadang aku pun diacuhkan Berikan aku, berikan aku kekuatan Hidup membosankan tak punya pasangan Terkadang aku pun diacuhkan Berikan aku, berikan aku kekuatan Hey kawan, semua tak perlu kau fikirkan Jadikanlah semua ini sebuah acuan Karena hidup selalu belajar dan belajar (Masa depan) Beli pulsa uang kurang, kasihan Butuh uang bayar kosan sebulan Lihat teman gandeng pacar di taman Lihat mantan jalan-jalan;bersemangat;JAV;Stand Here Alone
Kelak kau kan menjalani hidupmu sendiriMelukai kenangan yang telah kita lalui Yang tersisa hanya aku sendiri di siniKau akan terbang jauh menembus awan Memulai kisah baru tanpa diriku Seandainya kau tau ku tak ingin kau pergi Meninggalkan ku sendiri bersama bayanganku Seandainya kau tau aku kan selalu cinta Jangan kau lupakan kenangan kita selama ini Kelak kau kan menjalani hidupmu sendiri Melukai kenangan yang telah kita lalui Kau akan terbang jauh menembus awan Memulai kisah baru tanpa diriku Seandainya kau tau ku tak ingin kau pergi Meninggalkan ku sendiri bersama bayanganku Seandainya kau tau aku kan selalu cinta Jangan kau lupakan kenangan kita selama ini Selama ini Seandainya kau tau ku tak ingin kau pergi oh Meninggalkan ku sendiri bersama bayanganku Seandainya kau tau aku kan selalu cinta Jangan kau lupakan kenangan kita selama ini oh Selama ini;sedih;Seandainya;Vierratale
Kau tak sepenuhnya sendiri Aku kan slalu ada di sini Mengapa oh mengapa dirimu Penuh dengan rasa bimbang Tak perlu kau pergi tuk mencari Mencari arti cinta Aku sendiri di sini menunggu Aku sendiri di sini menanti Aku tak terbiasa untuk berharap Berlari untuk mengejar dirimu Dalam menggapai semua impiku Smoga kau kan tetap jadi apa yang ku inginkan Mengapa oh mengapa dirimu Penuh dengan rasa bimbang Tak perlu kau pergi tuk mencari Mencari arti cinta Aku sendiri di sini menunggu Aku sendiri di sini menanti Aku tak terbiasa untuk berharap Berlari untuk mengejar dirimu Dalam menggapai semua impiku Smoga kau kan tetap jadi apa yang ku inginkan Jangan pernah berubah Ingat janjimu Jangan pernah menghilang Dari hatiku Aku sendiri di sini menunggu Aku sendiri di sini menanti Aku tak terbiasa untuk berharap Berlari untuk mengejar dirimu Dalam menggapai semua impiku Smoga kau kan tetap jadi apa yang ku inginkan;bersemangat;Jadi Apa Yang Kuinginkan;Vierratale
Berat bebanku MeninggalkanmuSeparuh nafas jiwaku sirna Bukan salahmu Apa dayaku Mungkin benar cinta sejati tak berpihak pada kita Kasihku Sampai disini kisah kita Jangan tangisi keadaannya Bukan karena kita berbeda DengarkanDengarkan lagu lagu iniMelodi rintihan hati ini Kisah kita Berakhir di Januari Selamat tinggal kisah sejatiku Wow pergilah Kasihku Sampai disini kisah kita Jangan tangisi keadaannya Bukan karena kita berbeda wow Dengarkan lagu lagu ini Melodi rintihan hati ini Kisah kita berakhir di januari (wow ye he oh) Dengarkan lagu lagu ini Melodi rintihan hati ini Kisah kita berakhir wow Berakhir Berakhir di januari (hu) Berakhir di januari;sedih;Januari;Glenn Fredly
Terlalu indah dilupakan Terlalu sedih dikenangkan Setelah aku jauh berjalan Dan kau kutinggalkan Betapa hatiku bersedih Mengenang kasih dan sayangmu Setulus pesanmu kepadaku Engkau 'kan menunggu Andaikan kau datang kembali Jawaban apa yang 'kan kuberi? Adakah cara yang kau temui Untuk kita kembali lagi? Betapa hatiku bersedih Mengenang kasih dan sayangmu Setulus pesanmu kepadaku Engkau 'kan menunggu Andaikan kau datang kembali Jawaban apa yang 'kan kuberi? Adakah cara yang kau temui Untuk kita kembali lagi? Bersinarlah bulan purnama Seindah serta tulus cintanya Bersinarlah terus sampai nanti Lagu ini, oh-oh Andaikan kau datang kembali Jawaban apa yang 'kan kuberi? Adakah cara yang kau temui Untuk kita kembali lagi? Bersinarlah bulan purnama Seindah serta tulus cintanya Bersinarlah terus sampai nanti Lagu ini kuakhiri;sedih;Andaikan Kau Datang Kembali;Noah
Kulepas semua yang kuinginkan Tak akan kuulangi Maafkan jika kau kusayangi Dan bila kumenanti Pernahkah engkau coba mengerti Lihatlah aku di sini Mungkinkah jika aku bermimpi Salahkah tuk menanti Takkan lelah aku menanti Takkan hilang cintaku ini Hingga saat kau tak kembali Kan kukenang di hati saja Kau telah tinggalkan hati yang terdalam Hingga tiada cinta yang tersisa di jiwa;romantis;Yang Terdalam;Noah
Ada yang benci dirinya Ada yang butuh dirinya Ada yang berlutut mencintainya Ada pula yang kejam menyiksa dirinya Ini hidup wanita si Kupu-Kupu Malam Bekerja, bertaruh seluruh jiwa raga Bibir senyum, kata halus merayu, memanja Kepada setiap mereka yang datang Dosakah yang dia kerjakan? Sucikah mereka yang datang? Kadang dia tersenyum dalam tangis Kadang dia menangis di dalam senyuman Wo-oh, apa yang terjadi, terjadilah Yang dia tahu Tuhan, penyayang umat-Nya Wo-oh, apa yang terjadi, terjadilah Yang dia tahu hanyalah menyambung nyawa Uh-oh, ah-ah-uh Wo-oh-ho, apa yang terjadi, terjadilah Yang dia tahu Tuhan, penyayang umat-Nya Wo-ho, apa yang terjadi, terjadilah Yang dia tahu hanyalah menyambung nyawaOh-ah-oh-oh;romantis;Kupu-Kupu Malam;Noah
Waktu terus berjalan, tiada yang di sisimu Ingin keluar 'tuk dapatkan pemikiran baru Kukesal hari ini melihat di sekitar Semuanya sama dan seragam Korban dari majalah Dia pikir dia berbeda Dan semua band mengkopi Blink Di manakah pemberontak engkau bersembunyi? Bukankah ini penting Dan perasaanku membunuhku! Kubenci semua yang tak pasti wo, oo Rambut spikey dibilang funky wo, ooMall dipenuhi lambang anarki wo, oo Yang akhirnya hilang tak berarti MTV hari ini, Rock n' Roll telah mati Nyanyikan lagu orang lain dan kau akan terkenal Coba 'tuk tak curiga, tak kuasa 'ku menahan Penuh tattoo juga piercing Nyanyikan lagu cengeng Bukankah ini penting Dan perasaanku membunuhku!;marah;Punk Hari Ini;Superman Is Dead
Jauh jalan yang harus kau tempuh Mungkin samar bahkan mungkin gelap Tajam kerikil setiap saat menunggu Engkau lewat dengan kaki tak bersepatu Duduk sini nak dekat pada bapak Jangan kau ganggu ibumu Turunlah lekas dari pangkuannya Engkau lelaki kelak sendiri Jauh jalan yang harus kau tempuh Mungkin samar bahkan mungkin gelap Duduk sini nak dekat pada bapak Jangan kau ganggu ibumu Turunlah lekas dari pangkuannya Engkau lelaki kelak sendiri;sedih;Nak;Iwan Fals
Suatu hari Dikala kita duduk ditepi pantai Dan memandang ombak dilautan yang kian menepi Burung camar terbang Bermain diderunya air Suara alam ini Hangatkan jiwa kita Sementara Sinar surya perlahan mulai tenggelam Suara gitarmu Mengalunkan melodi tentang cinta Ada hati Membara erat bersatu Getar seluruh jiwa Tercurah saat itu Kemesraan ini Janganlah cepat berlalu Kemesraan ini Inginku kenang selalu Hatiku damai Jiwaku tentram di samping mu Hatiku damai Jiwa ku tentram Bersamamu Sementara Sinar surya perlahan mulai tenggelam Suara gitarmu Mengalunkan melodi tentang cinta Ada hati Membara erat bersatu Getar seluruh jiwa Tercurah saat itu Kemesraan ini Janganlah cepat berlalu Kemesraan ini Inginku kenang selalu Hatiku damai Jiwaku tentram di samping mu Hatiku damai Jiwa ku tentram Bersamamu Kemesraan ini Janganlah cepat berlalu Kemesraan ini Inginku kenang selalu Hatiku damai Jiwaku tentram di samping mu Hatiku damai Jiwa ku tentram Bersamamu;sedih;Kemesraan;Iwan Fals
Untukmu yang duduk sambil diskusi Untukmu yang biasa bersafari Di sana di gedung DPR Wakil rakyat kumpulan orang hebat Bukan kumpulan teman-teman dekat Apalagi sanak famili Di hati dan lidahmu kami berharap Suara kami tolong dengar lalu sampaikan Jangan ragu jangan takut karang menghadang Bicaralah yang lantang jangan hanya diam Di kantong safarimu kami titipkan Masa depan kami dan negeri ini Dari Sabang sampai Merauke Saudara dipilih bukan dilotre Meski kami tak kenal siapa saudara Kami tak sudi memilih para juara Juara diam juara he-eh juara hahaha Untukmu yang duduk sambil diskusi Untukmu yang biasa bersafari Di sana di gedung DPR Di hati dan lidahmu kami berharap Suara kami tolong dengar lalu sampaikan Jangan ragu jangan takut karang menghadang Bicaralah yang lantang jangan hanya diam Wahai sahabat Wakil rakyat seharusnya merakyat Jangan tidur waktu sidang soal rakyat Wakil rakyat bukan paduan suara Hanya tahu nyanyian lagu setuju Wakil rakyat seharusnya merakyat Jangan tidur waktu sidang soal rakyat Wakil rakyat bukan paduan suara Hanya tahu nyanyian lagu setuju Wakil rakyat seharusnya merakyat Jangan tidur waktu sidang soal rakyat Wakil rakyat bukan paduan suara Hanya tahu nyanyian lagu setuju Wakil rakyat seharusnya merakyat Jangan tidur waktu sidang soal rakyat Wakil rakyat bukan paduan suara Hanya tahu nyanyian lagu setuju Wakil rakyat seharusnya merakyat Jangan tidur waktu sidang soal rakyat Wakil rakyat bukan paduan suara Hanya tahu nyanyian lagu setuju Wakil rakyat seharusnya merakyat Jangan tidur waktu sidang soal rakyat Wakil rakyat bukan paduan suara Hanya tahu nyanyian lagu setuju Wakil rakyat seharusnya merakyat Jangan tidur waktu sidang soal rakyat Bukan paduan suara Hanya tahu nyanyian lagu setuju;marah;Surat Buat Wakil Rakyat;Iwan Fals
Denting piano Kala jemari menari Nada merambat pelan Di kesunyian malam Saat datang rintik hujan Bersama sebuah bayang Yang pernah terlupakan Hati kecil berbisik Untuk kembali padanya Seribu kata menggoda Seribu sesal di depan mata Seperti menjelma Waktu aku tertawa Kala memberimu dosa Oh maafkanlah Oh maafkanlah Rasa sesal di dasar hati Diam tak mau pergi Haruskah aku lari dari kenyataan ini Pernah ku mencoba tuk sembunyi Namun senyummu tetap mengikuti Hati kecil berbisik Untuk kembali padanya Seribu kata menggoda Seribu sesal di depan mata Seperti menjelma Waktu aku tertawa Kala memberimu dosa Rasa sesal di dasar hati Diam tak mau pergi Haruskah aku lari dari kenyataan ini Pernah ku mencoba tuk sembunyi Namun senyummu tetap mengikuti Rasa sesal di dasar hati Diam tak mau pergi Haruskah aku lari dari kenyataan ini Pernah ku mencoba tuk sembunyi Namun senyummu tetap mengikuti Rasa sesal di dasar hati Diam tak mau pergi Haruskah aku lari dari kenyataan ini Pernah ku mencoba tuk sembunyi Namun senyummu tetap mengikuti;sedih;Yang Terlupakan;Iwan Fals
Lihat senyum manis diatas bibir bergincu Kerdip mata merayu jelas coba mengganggu Tawa renyah terpasang bukan tanpa tujuan Satu korban terjerat itulah harapan Wangi parfum semerbak membius pusat syaraf Hadirkan bayangan tuk lepas keresahan Bergejolak semua coba berontak Ketika tak kuasa langsung kulari mengelak Ah entah sampai kapan Kau mampu bertahan Hindari kenyataan entah sampai kapan Kau mampu bertahan Mungkin kau terfikir lepas belenggu hitam Hidup memang selalu penuh dengan warna – warni Bila terjebak sulit untuk coba keluar Semua pasti ada jalan keluar Cobalah berusaha Ah entah sampai kapan Kau mampu bertahan hindari kenyataan entah sampai kapan Mungkinkah terpikir lepas belenggu hitam;santai;Genit;Tipe-X
Saat bulan purnama bersinar Terangi malamku teringat padamu Dan kukirimkan salam tentang rasa rinduku Bersama angin malam kusetia menunggu Mimpikan mimpikan aku oh sayangku Peluk erat hati ini dan jagalah selalu Dan kan kudendangkan lagu ini untukmu Dengarlah Dengarlah sayang Ingatlah saat kita bersama Kau pegang tanganku kutatap matamu Semua terasa indah tak seorangpun mengganggu Bersedih dan tertawa kita tetap bersatu Bintang benderang secerah hatiku Yang selalu terbayang kekasihku sayang Di setiap mimpimu ku kan selalu berdendang Dengarlah Dengarlah sayang Kuatkanlah dinding hati Janji kita tak akan pernah terbagi Biar malam terus berganti Yakinlah kau tetap bungaku Genggam erat hatiku ini Kan kuciptakan damai untukmu Biar bulan terus berlalu Yakinlah kau tetap bungaku Yakinlah kau tetap milikku Saat bulan purnama bersinar Terangi malamku teringat padamu Dan kukirimkan salam tentang rasa rinduku Dengarlah Oh dengarlah sayang Kuatkanlah dinding hati Janji kita tak akan pernah terbagi Biar malam terus berganti Yakinlah kau tetap bungaku Genggam erat hatiku ini Kan kuciptakan damai untukmu Biar bulan terus berlalu Yakinlah kau tetap bungaku Yakinlah kau tetap milikku Yakinlah yakinlah bungaku Sayangku;bersemangat;Salam Rindu;Tipe-X
Sakit hati Bikin sakit hati Semua ini terjadi berkali-kali Nggak pernah aku mengerti Mengapa begini? Masih saja kau selalu ingkari janji Cobalah rasakan apa yang kurasa Hati ini sakit dibohongi Setiap kali kau tebar ribuan janji Nggak pernah terbukti cuman mimpi Sakit hati Bikin sakit hati Semua ini terjadi berkali-kali Nggak pernah aku mengerti Mengapa begini? Masih saja kau selalu ingkari janji Kau taburkan bunga di angan-angan Hingga jiwa-ragaku melayang Saat semua kembali aku tersentak Yang kurasa hanyalah kecewa Sakit hati Bikin sakit hati Semua ini terjadi berkali-kali Nggak pernah aku mengerti Mengapa begini? Masih saja kau selalu ingkari janji Kau taburkan bunga di angan-angan Hingga jiwa-ragaku melayang Saat semua kembali aku tersentak Yang kurasa hanyalah kecewa Sakit hati Bikin sakit hati Semua ini terjadi berkali-kali Nggak pernah aku mengerti Mengapa begini? Masih saja kau selalu ingkari janji Sakit hati (sakit hati) Bikin sakit hati (sakit hati) Semua ini terjadi berkali-kali Nggak pernah aku mengerti Mengapa begini? Masih saja kau selalu ingkari janji;sedih;Sakit Hati;Tipe-X
Ku tatap dunia Terasa perih luka di dada Pertempuran manusia Yang buta indahnya perbedaan Oh indahnya Ku bisa engkaupun bisa Melupakan kebencian yang ada Bersama kita terluka Bersama kita bisa tertawa Dan tertawa Ayo bangun dunia di dalam perbedaan Jika satu tetap kuat kita bersinar Harus percaya tak ada yang sempurna Dan dunia kembali tertawa Bayangkan dan senyumlah Mahkota emas tiada artinya Ketika raja dan ratu Memimpin dunia semua bersatu Dan bersatu Ayo bangun dunia di dalam perbedaan Jika satu tetap kuat kita bersinar Harus percaya tak ada yang sempurna Dan dunia kembali tertawa Jabat erat tanganku kawan Kau tak akan pernah sendiri Hancurkan dendam dengan cinta di dada Untuk semua manusia Ayo bangun dunia di dalam perbedaan Jika satu tetap kuat kita bersinar Harus percaya tak ada yang sempurna Dan dunia kembali tertawa Ayo bangun dunia di dalam perbedaan Jika satu tetap kuat kita bersinar Harus percaya tak ada yang sempurna Dan dunia kembali tertawa Ayo bangun dunia di dalam perbedaan Jika satu tetap kuat kita bersinar Harus percaya tak ada yang sempurna Dan dunia kembali tertawa;bersemangat;Kuat Kita Bersinar;Superman Is Dead
